ObjectID,gponOntOntsideAggGemIntervalReceiveBlocksCounter64,gponOntOntsideAggGemIntervalReceiveFrags,gponOntOntsideAggGemIntervalTransmitBlocksCounter64,gponOntOntsideAggGemIntervalTransmitFrags
R1.S1.LT4.PON3.ONT17,351,162,1281,388
R1.S1.LT5.PON4.ONT17,81,55,314,118
R1.S1.LT2.PON1.ONT14,14296754,592334,5311156,405999
R1.S1.LT2.PON2.ONT17,3560,1509,4037,896
R1.S1.LT4.PON3.ONT14,827803,32930,50080,13358
R1.S1.LT5.PON4.ONT14,13348362,513380,695887,204274
R1.S1.LT6.PON5.ONT14,479848,19175,91007,10256
R1.S1.LT6.PON6.ONT17,169006,6554,13873,5310
R1.S1.LT2.PON1.ONT15,3476,1286,4423,317
R1.S1.LT2.PON2.ONT14,2445,341,5137,1399
R1.S1.LT4.PON3.ONT15,662590,23788,33013,15822
R1.S1.LT5.PON4.ONT15,8792,2008,32871,14534
R1.S1.LT6.PON5.ONT15,4764001,159861,190878,90987
R1.S1.LT6.PON6.ONT14,2250722,82922,143319,47375
R1.S1.LT2.PON2.ONT15,2556,334,5386,1371
R1.S1.LT2.PON4.ONT10,74117,4278,12189,2811
R1.S1.LT3.PON8.ONT15,2882436,108342,224211,63805
R1.S1.LT4.PON1.ONT15,22964424,907033,1121968,414981
R1.S1.LT4.PON2.ONT14,2156,1463,1237,334
R1.S1.LT2.PON1.ONT18,3116399,115688,162682,64403
R1.S1.LT2.PON4.ONT11,245,120,1454,323
R1.S1.LT4.PON2.ONT15,221,88,1151,268
R1.S1.LT4.PON3.ONT18,5777213,271374,869050,167198
R1.S1.LT5.PON4.ONT18,352,189,1176,373
R1.S1.LT2.PON1.ONT19,1498,1111,10,9
R1.S1.LT2.PON2.ONT18,3586848,165429,2241287,146808
R1.S1.LT4.PON3.ONT19,5260257,185476,488755,99420
R1.S1.LT5.PON4.ONT19,1588463,64829,122288,28317
R1.S1.LT6.PON5.ONT19,7631294,372212,375330,172177
R1.S1.LT6.PON6.ONT18,2000111,72947,89019,34948
R1.S1.LT2.PON1.ONT16,10080333,334138,363641,175391
R1.S1.LT4.PON3.ONT16,4093053,168687,965612,71284
R1.S1.LT5.PON4.ONT16,229,103,1260,434
R1.S1.LT3.PON7.ONT16,1319137,52372,205923,30248
R1.S1.LT3.PON8.ONT19,205,85,1319,451
R1.S1.LT4.PON1.ONT19,18360822,738221,688361,278998
R1.S1.LT4.PON2.ONT18,21091285,863478,5103684,483797
R1.S1.LT6.PON7.ONT15,300643,21222,238923,15597
R1.S1.LT6.PON8.ONT14,8373358,313592,305044,112222
R1.S1.LT3.PON7.ONT17,9698764,386695,1270916,196719
R1.S1.LT3.PON8.ONT16,372044,42690,251577,42213
